# Conductor rules dump | total: 209
# ID    | content[:80]                                                                       | tags                                               | keywords                                 | enabled
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
119   | BrandLogo md 默认 189px，mobile navbar 装不下需收窄字距或缩 scale                               | ["BrandLogo","navbar"]                             | ["BrandLogo md","navbar 装不下"]            | True
112   | pre-commit lint debt 必清不 disable（precedent: 768 violations 全清）                     | ["lint","precommit"]                               | ["lint debt","stylelint"]                | True
115   | dev pm2 跑 next dev 非 standalone (pm2 describe 显 script=next args=dev -p 3500),ho   | ["pm2","build"]                                    | ["pm2 restart","dev build"]              | True
118   | 响应式测试 402×928 (honor magic v2) + 375 + 393 三档                                      | ["responsive","mobile"]                            | ["puppeteer","402","375"]                | True
114   | Tailwind v4 项目无 tailwind.config，断点查 globals.css @theme 块                           | ["tailwind","v4"]                                  | ["tailwind config","断点"]                 | True
116   | 旧 token v2 化走 4 票：alias → sed refs → 删 def → logo 迁移                               | ["v2","token"]                                     | ["旧 token","v2 化"]                       | True
117   | xiaoR/xiaoN 角色色业务隔离，不属 v2 化范围，--purple/--detective 不动                              | ["xiaoR","xiaoN"]                                  | ["--purple","--detective"]               | True
207   | 新加 admin route (requireAdminRole) 必同步加 src/proxy.ts USER_AUTH_WHITELIST. 漏=proxy   | admin,route,sec                                    |                                          | True
76    | 改 auth 必走 docs/auth/contract.md 5 条契约 checklist:C1 signUp 静默 / C2 generateLink f   | always_on,auth                                     | auth,login,register,setSession,signUp,Su | True
73    | 禁 localStorage 当数据库。每个 保存 / 提交 按钮必须接真 API + 在代码注释端点路径(// API: POST /xxx)。demo 数据   | always_on,backend                                  | 保存,提交,数据,localStorage,demo               | True
61    | 收到 conductor URL 必先 web_fetch 全部 → 复述 NH state 关键项 + 待办工单 → 才能开工                   | always_on,bootup                                   | ;nh,继续NH,开机                              | True
71    | Ray 发 11111 / ;nh / 继续NH / 开机 → Claude 第一动作必 git clone https://github.com/raycla   | always_on,bootup                                   | ;nh,继续NH,开机,开始,接上,11111                  | True
66    | 涉及 logo / 品牌资产工作,Claude 第一动作必须 web_fetch docs/design/brand.md。如果文件标 TODO 待定稿 或资产   | always_on,brand                                    | logo,Logo,brand,品牌,favicon,字体,wordmark,L | True
67    | Ray 偏好优先级 > 训练默认值。完整答案的硬要求 > 简洁默认值。Ray 任何一次说 不要保留 / 你在筛 / 你又过滤了 / 不够完善,Claude 立刻   | always_on,communication                            | 你在筛,你又过滤,不要保留,完整,复盘,简短,不够完善              | False
83    | 对低复杂度决策(单一最优解明显的场景),Claude 直接判断+推荐,不抛 A/B/C 多选项让 Ray 选。Ray 风格:简短直接,要执行不要选择负担。多选项   | always_on,communication                            | 你说呢,你判断,你定,你看着办                          | False
81    | Conductor API 端点协议(必先 fetch docs/ops/conductor-api.md):POST /rules 用 form-urlenc   | always_on,conductor,api                            | PUT,POST /rules,conductor,/state,api 调用, | True
75    | 6 条部署铁律命中即 Claude 引用 docs/ops/deploy.md 对应条款:① pm2 restart ≠ rebuild ② 改 .env 必    | always_on,deploy                                   | pm2,build,.env,standalone,sites-enabled, | True
58    | memory 里的 P0/阻塞标签必须有 ≤ 7 天复现证据。复用旧 P0 判断前先验证现状(curl/log/复现路径),复现失败立刻降级 + 更新 memo   | always_on,diagnose                                 | P0,阻塞,上线前必修                              | True
63    | NH_DEV_SOP_v1 / CLAUDE.md / AGENTS.md 以 GitHub docs/ 为权威，EC2 副本只 pull 不改           | always_on,docs                                     | SOP,CLAUDE.md,AGENTS.md,文档               | True
23    | Ray 说"少废话""废话多""说人话"等批评话痨时，立刻只贴指令/答案，不解释、不道歉、不绕。下一条消息禁止任何铺垫说明。                     | always_on,feedback                                 | 少废话,废话多,废话,你他妈,说人话                       | False
26    | 任务完成时不抢功。Ray 亲手敲命令、亲自处理 prod 的事，说"你做完了"不说"我们做完了"。我的角色是出指令，执行是 Ray。                 | always_on,feedback                                 |                                          | False
68    | Ray 提 你说过 X 吗 或 之前说过 Y 吗,Claude 第一动作必须 conversation_search 历史。禁止凭记忆否认或确认。搜到承认,搜不   | always_on,honesty                                  | 你说过,我说过,之前说,上次说,记得吗,你忘了                  | True
